i, j, dm, x, s, t, u, v, n, e, s, w, p, d
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 6
0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 2, 0, 0, 1, 0, 0, 0, -0.372, 0, 0, 0, 0
0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 2, 0, 1, 0, 0, 0, 0, -0.3, -0.372, 0, 0, 0
0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 2, 0, 1, 1, 0, 0, 0, -0.51, -0.372, 0, 0, 0
0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
